Domain-04	POLITICS
Domain-08	INTERNATIONAL RELATIONS
Domain-10	EUROPEAN UNION
Domain-12	LAW
Domain-16	ECONOMICS
Domain-20	TRADE
Domain-24	FINANCE
Domain-28	SOCIAL QUESTIONS
Domain-32	EDUCATION AND COMMUNICATIONS
Domain-36	SCIENCE
Domain-40	BUSINESS AND COMPETITION
Domain-44	EMPLOYMENT AND WORKING CONDITIONS
Domain-48	TRANSPORT
Domain-52	ENVIRONMENT
Domain-56	AGRICULTURE, FORESTRY AND FISHERIES
Domain-60	AGRI-FOODSTUFFS
Domain-64	PRODUCTION, TECHNOLOGY AND RESEARCH
Domain-66	ENERGY
Domain-68	INDUSTRY
Domain-72	GEOGRAPHY
Domain-76	INTERNATIONAL ORGANISATIONS
MicroThesaurus-0406	political framework
MicroThesaurus-0411	political party
MicroThesaurus-0416	electoral procedure and voting
MicroThesaurus-0421	parliament
MicroThesaurus-0426	parliamentary proceedings
MicroThesaurus-0431	politics and public safety
MicroThesaurus-0436	executive power and public service
MicroThesaurus-0806	international affairs
MicroThesaurus-0811	cooperation policy
MicroThesaurus-0816	international balance
MicroThesaurus-0821	defence
MicroThesaurus-1006	EU institutions and European civil service
MicroThesaurus-1011	European Union law
MicroThesaurus-1016	European construction
MicroThesaurus-1021	EU finance
MicroThesaurus-1206	sources and branches of the law
MicroThesaurus-1211	civil law
MicroThesaurus-1216	criminal law
MicroThesaurus-1221	justice
MicroThesaurus-1226	organisation of the legal system
MicroThesaurus-1231	international law
MicroThesaurus-1236	rights and freedoms
MicroThesaurus-1606	economic policy
MicroThesaurus-1611	economic growth
MicroThesaurus-1616	regions and regional policy
MicroThesaurus-1621	economic structure
MicroThesaurus-1626	national accounts
MicroThesaurus-1631	economic analysis
MicroThesaurus-2006	trade policy
MicroThesaurus-2011	tariff policy
MicroThesaurus-2016	trade
MicroThesaurus-2021	international trade
MicroThesaurus-2026	consumption
MicroThesaurus-2031	marketing
MicroThesaurus-2036	distributive trades
MicroThesaurus-2406	monetary relations
MicroThesaurus-2411	monetary economics
MicroThesaurus-2416	financial institutions and credit
MicroThesaurus-2421	free movement of capital
MicroThesaurus-2426	financing and investment
MicroThesaurus-2431	insurance
MicroThesaurus-2436	public finance and budget policy
MicroThesaurus-2441	budget
MicroThesaurus-2446	taxation
MicroThesaurus-2451	prices
MicroThesaurus-2806	family
MicroThesaurus-2811	migration
MicroThesaurus-2816	demography and population
MicroThesaurus-2821	social framework
MicroThesaurus-2826	social affairs
MicroThesaurus-2831	culture and religion
MicroThesaurus-2836	social protection
MicroThesaurus-2841	health
MicroThesaurus-2846	construction and town planning
MicroThesaurus-3206	education
MicroThesaurus-3211	teaching
MicroThesaurus-3216	organisation of teaching
MicroThesaurus-3221	documentation
MicroThesaurus-3226	communications
MicroThesaurus-3231	information and information processing
MicroThesaurus-3236	information technology and data processing
MicroThesaurus-3606	natural and applied sciences
MicroThesaurus-3611	humanities
MicroThesaurus-4006	business organisation
MicroThesaurus-4011	business classification
MicroThesaurus-4016	legal form of organisations
MicroThesaurus-4021	management
MicroThesaurus-4026	accounting
MicroThesaurus-4031	competition
MicroThesaurus-4406	employment
MicroThesaurus-4411	labour market
MicroThesaurus-4416	organisation of work and working conditions
MicroThesaurus-4421	personnel management and staff remuneration
MicroThesaurus-4426	labour law and labour relations
MicroThesaurus-4806	transport policy
MicroThesaurus-4811	organisation of transport
MicroThesaurus-4816	land transport
MicroThesaurus-4821	maritime and inland waterway transport
MicroThesaurus-4826	air and space transport
MicroThesaurus-5206	environmental policy
MicroThesaurus-5211	natural environment
MicroThesaurus-5216	deterioration of the environment
MicroThesaurus-5606	agricultural policy
MicroThesaurus-5611	agricultural structures and production
MicroThesaurus-5616	farming systems
MicroThesaurus-5621	cultivation of agricultural land
MicroThesaurus-5626	means of agricultural production
MicroThesaurus-5631	agricultural activity
MicroThesaurus-5636	forestry
MicroThesaurus-5641	fisheries
MicroThesaurus-6006	plant product
MicroThesaurus-6011	animal product
MicroThesaurus-6016	processed agricultural produce
MicroThesaurus-6021	beverages and sugar
MicroThesaurus-6026	foodstuff
MicroThesaurus-6031	agri-foodstuffs
MicroThesaurus-6036	food technology
MicroThesaurus-6406	production
MicroThesaurus-6411	technology and technical regulations
MicroThesaurus-6416	research and intellectual property
MicroThesaurus-6606	energy policy
MicroThesaurus-6611	coal and mining industries
MicroThesaurus-6616	oil industry
MicroThesaurus-6621	electrical and nuclear industries
MicroThesaurus-6626	soft energy
MicroThesaurus-6806	industrial structures and policy
MicroThesaurus-6811	chemistry
MicroThesaurus-6816	iron, steel and other metal industries
MicroThesaurus-6821	mechanical engineering
MicroThesaurus-6826	electronics and electrical engineering
MicroThesaurus-6831	building and public works
MicroThesaurus-6836	wood industry
MicroThesaurus-6841	leather and textile industries
MicroThesaurus-6846	miscellaneous industries
MicroThesaurus-7206	Europe
MicroThesaurus-7211	regions of EU Member States
MicroThesaurus-7216	America
MicroThesaurus-7221	Africa
MicroThesaurus-7226	Asia and Oceania
MicroThesaurus-7231	economic geography
MicroThesaurus-7236	political geography
MicroThesaurus-7241	overseas countries and territories
MicroThesaurus-7606	United Nations
MicroThesaurus-7611	European organisations
MicroThesaurus-7616	extra-European organisations
MicroThesaurus-7621	world organisations
MicroThesaurus-7626	non-governmental organisations
ThesaurusConcept-1	Århus
ThesaurusConcept-2	breach of trust
ThesaurusConcept-3	adhesive
ThesaurusConcept-4	State trading
ThesaurusConcept-5	retail trade
ThesaurusConcept-6	wholesale trade
ThesaurusConcept-7	arms trade
ThesaurusConcept-8	East-West trade
ThesaurusConcept-9	foreign trade
ThesaurusConcept-10	domestic trade
ThesaurusConcept-11	international trade
ThesaurusConcept-12	accession to the European Union
ThesaurusConcept-13	marketing
ThesaurusConcept-14	ad hoc committee
ThesaurusConcept-15	committee of inquiry
ThesaurusConcept-16	Commission on Human Rights
ThesaurusConcept-17	UN Commission
ThesaurusConcept-18	parliamentary committee
